"","X","RoleID","PlayerID","PlayerGlobalID","Type","GroupID","Condition","Task","Order","Accuracy","Turn","All_Content","StartTimes","EndTimes","Starts","Ends","gap","convos","information","grounds","claim","organization","query","social","strategy"
"32",32,4,3,1,"Conversation",1,"Desktop","Murder",2,1,32,"Yep. Yeah so.","438.7173-444.8613","438.952-446.248",438.7173,446.248,-5.376,4,0,0,0,0,0,0,0
"33",33,2,9,3,"Conversation",1,"Desktop","Murder",2,1,33,"And also the police discovered that Mr. Scott disappeared too after the murder.","447.5066","452.2853",447.5066,452.2853,1.2586,4,1,0,0,0,0,0,0
"34",34,4,3,1,"Conversation",1,"Desktop","Murder",2,1,34,"So we have these two characters, Mr. Jones have business dispute","452.136","458.3653",452.136,458.3653,-0.1493,4,0,0,0,0,0,0,0
"35",35,2,9,3,"Conversation",1,"Desktop","Murder",2,1,35,"And.","456.616","457.064",456.616,457.064,-1.7493,4,0,0,0,0,0,0,0
"36",36,4,3,1,"Conversation",1,"Desktop","Murder",2,1,36,"dispute with Kelley  and Mr. Scott may have like a marriage with this like a like a grudge with Kelley and both of them have like a motivations and they both disappeared after the murder.","458.856","475.7093",458.856,475.7093,1.792,4,1,0,0,0,0,0,0
"37",37,2,9,3,"Conversation",1,"Desktop","Murder",2,1,37,"Yeah, old. Yeah yeah. Also mr. Kelley destroyed Mr. Jones business for stealing his customers.","463.8266-474.92","464.808-482.024",463.8266,482.024,-11.8827,4,0,0,0,0,0,0,0
"38",38,4,3,1,"Conversation",1,"Desktop","Murder",2,1,38,"OK.","479.9333","480.3173",479.9333,480.3173,-2.0907,4,0,0,0,0,0,0,0
"39",39,3,7,4,"Conversation",1,"Desktop","Murder",2,1,39,"OK.","480.104","480.2746",480.104,480.2746,-0.2133,4,0,0,0,0,0,0,0
"40",40,4,3,1,"Conversation",1,"Desktop","Murder",2,1,40,"Yeah, so that's that. So both of them have have have motivations of them.","481.4266","487.3786",481.4266,487.3786,1.152,4,0,0,0,0,0,0,0
"41",41,2,9,3,"Conversation",1,"Desktop","Murder",2,1,41,"Yeah, So what time was the murder 'cause? mr. Scott's apartment at 12:25.","487.6986-491.304","491.0693-494.3546",487.6986,494.3546,0.32,4,0,0,0,0,1,0,0
"42",42,4,3,1,"Conversation",1,"Desktop","Murder",2,1,42,"OK.","495.4426","495.848",495.4426,495.848,1.088,4,0,0,0,0,0,0,0
"43",43,3,7,4,"Conversation",1,"Desktop","Murder",2,1,43,"So yeah, the murder was at one.","496.3173","498.088",496.3173,498.088,0.4693,4,0,0,0,0,0,0,0
"44",44,1,5,2,"Conversation",1,"Desktop","Murder",2,1,44,"So I have.","497.2133","498.3653",497.2133,498.3653,-0.8747,4,0,0,0,0,0,0,0
"45",45,4,3,1,"Conversation",1,"Desktop","Murder",2,1,45,"Uh, so.","499.432","501.2666",499.432,501.2666,1.0667,4,0,0,0,0,0,0,0
"46",46,2,9,3,"Conversation",1,"Desktop","Murder",2,1,46,"1","499.6453","500.648",499.6453,500.648,-1.6213,4,0,0,0,0,0,0,0
"47",47,1,5,2,"Conversation",1,"Desktop","Murder",2,1,47,"[inaudible] What?","500.5413-501.8","501.1386-502.1626",500.5413,502.1626,-0.1067,4,0,0,0,0,1,0,0
"48",48,2,9,3,"Conversation",1,"Desktop","Murder",2,1,48,"Then Mr. Jones shot and intruder Mr. Jones apartment at 12. Midnight or something, yeah?","502.6746-510.0133","508.9893-512.6586",502.6746,512.6586,0.512,4,0,0,0,0,1,0,0
"49",49,3,7,4,"Conversation",1,"Desktop","Murder",2,1,49,"The body was found at 1:30 AM.","512.6373","514.984",512.6373,514.984,-0.0213,4,1,0,0,0,0,0,0
"50",50,1,5,2,"Conversation",1,"Desktop","Murder",2,1,50,"So the.","514.2373","514.7493",514.2373,514.7493,-0.7467,4,0,0,0,0,0,0,0
"51",51,2,9,3,"Conversation",1,"Desktop","Murder",2,1,51,"AM.","516.4133","516.9253",516.4133,516.9253,1.664,4,0,0,0,0,0,0,0
"52",52,3,7,4,"Conversation",1,"Desktop","Murder",2,1,52,"Yeah.","517.2666","517.288",517.2666,517.288,0.3413,4,0,0,0,0,0,0,0
"53",53,4,3,1,"Conversation",1,"Desktop","Murder",2,1,53,"So from the forensic. What information we get that the accurate? Right, good died time of Kelley is 1 hour before the time he was found, so if it is a fun. So what time is the the the dead body was found?","517.8427-522.5146-527.4853","521.7893-526.952-538.4293",517.8427,538.4293,0.5547,4,1,0,0,0,1,0,0
"54",54,1,5,2,"Conversation",1,"Desktop","Murder",2,1,54,"[inaudible]","535.2293","536.3173",535.2293,536.3173,-3.2,4,0,0,0,0,0,0,0
"55",55,4,3,1,"Conversation",1,"Desktop","Murder",2,1,55,"Uh.","540.2","540.2",540.2,540.2,3.8827,4,0,0,0,0,0,0,0
"56",56,3,7,4,"Conversation",1,"Desktop","Murder",2,1,56,"At 1:30 AM.","543.016","543.976",543.016,543.976,2.816,4,0,0,0,0,0,0,0
"57",57,4,3,1,"Conversation",1,"Desktop","Murder",2,1,57,"1:30 AM so it's.","544.04","545.9813",544.04,545.9813,0.064,4,0,0,0,0,0,0,0
"58",58,1,5,2,"Conversation",1,"Desktop","Murder",2,1,58,"1","545.192","545.7253",545.192,545.7253,-0.7893,4,0,0,0,0,0,0,0
"59",59,3,7,4,"Conversation",1,"Desktop","Murder",2,1,59,"Yeah so 12:30.","545.6613","546.7706",545.6613,546.7706,-0.064,4,0,0,1,0,0,0,0
"60",60,4,3,1,"Conversation",1,"Desktop","Murder",2,1,60,"12:30 should be the accurate time where","546.7493","550.6533",546.7493,550.6533,-0.0213,4,0,0,1,0,1,0,0
"61",61,3,7,4,"Conversation",1,"Desktop","Murder",2,1,61,"Yeah.","549.5013","550.3973",549.5013,550.3973,-1.152,4,0,0,0,0,0,0,0
"62",62,4,3,1,"Conversation",1,"Desktop","Murder",2,1,62,"Kelley died.","550.8666","551.912",550.8666,551.912,0.4693,4,0,0,0,0,0,0,0
"63",63,3,7,4,"Conversation",1,"Desktop","Murder",2,1,63,"And then.","551.6133","552.232",551.6133,552.232,-0.2987,4,0,0,0,0,0,0,0
"64",64,2,9,3,"Conversation",1,"Desktop","Murder",2,1,64,"So I think that was when he was at Mr. Scott's apartment.","554.152","558.696",554.152,558.696,1.92,4,0,0,0,0,1,0,0
"65",65,4,3,1,"Conversation",1,"Desktop","Murder",2,1,65,"OK.","559.2506","559.72",559.2506,559.72,0.5546,4,0,0,0,0,0,0,0
"66",66,3,7,4,"Conversation",1,"Desktop","Murder",2,1,66,"So there's something about Miss Smith and the lobby apartment. At 12:30 AM.","559.5067-565.3093","563.496-566.568",559.5067,566.568,-0.2133,4,0,0,0,0,0,0,0
"67",67,2,9,3,"Conversation",1,"Desktop","Murder",2,1,67,"OK.","567.656","568.232",567.656,568.232,1.088,4,0,0,0,0,0,0,0
"68",68,3,7,4,"Conversation",1,"Desktop","Murder",2,1,68,"I don't know what's that so someone can explain it.","568.7013","571.4746",568.7013,571.4746,0.4693,4,0,0,0,0,0,0,0
"69",69,2,9,3,"Conversation",1,"Desktop","Murder",2,1,69,"Well.","569.96","569.96",569.96,569.96,-1.5146,4,0,0,0,0,0,0,0
"70",70,4,3,1,"Conversation",1,"Desktop","Murder",2,1,70,"So I have some evidence on the bottom left. I'm gonna drag it on. Basically it's the the knife was found in Miss Smith's yard. And, uh, the knife. So from my board there are two wounds found on Kelley's dead body. One is a knife wound and one is a gunshot. Gunshot is at the thigh and knife one is at the back. And so we have evidence that the bullets.","571.7733-583.7413","582.9306-606.2053",571.7733,606.2053,1.8133,4,1,0,0,1,0,0,0
"71",71,3,7,4,"Conversation",1,"Desktop","Murder",2,1,71,"OK.","601.2986","601.4693",601.2986,601.4693,-4.9067,4,0,0,0,0,0,0,0
"72",72,4,3,1,"Conversation",1,"Desktop","Murder",2,1,72,"The bullet found in the dead body match the gun from Mr. Jones, so Jones has a very hard evidence of the murder weapon pointed at him, and the knife was found at Miss Smith Yard.","606.3546","622.888",606.3546,622.888,4.8853,4,1,0,0,0,0,0,0
"73",73,3,7,4,"Conversation",1,"Desktop","Murder",2,1,73,"OK.","611.24","611.5813",611.24,611.5813,-11.648,4,0,0,0,0,0,0,0
"74",74,4,3,1,"Conversation",1,"Desktop","Murder",2,1,74,"Wait wait wait.","624.488","626.344",624.488,626.344,12.9067,5,0,0,0,0,0,0,0
"75",75,1,5,2,"Conversation",1,"Desktop","Murder",2,1,75,"Mr. Scott yeah.","625.5333","627.24",625.5333,627.24,-0.8107,5,0,0,0,0,0,0,0
"76",76,2,9,3,"Conversation",1,"Desktop","Murder",2,1,76,"Does does anyone have any any note on where on on 'cause I have something here? Mr. Jones shot an intruder in his apartment at twelve midnight.","626.3653","638.568",626.3653,638.568,-0.8747,5,0,0,0,0,1,0,0
"77",77,3,7,4,"Conversation",1,"Desktop","Murder",2,1,77,"Yeah.","639.3786","639.5706",639.3786,639.5706,0.8106,5,0,0,0,0,0,0,0
"78",78,4,3,1,"Conversation",1,"Desktop","Murder",2,1,78,"Yeah, it's.","640.4666","641.576",640.4666,641.576,0.896,5,0,0,0,0,0,0,0
"79",79,2,9,3,"Conversation",1,"Desktop","Murder",2,1,79,"So that could be that could be the [inaudible] so if it's confirmed that Mr. Kelley was actually in. Mr. Jones. Apartments, then he shot him. That was the.","640.8506-649.5973-651.7946","648.1893-650.6426-655.0373",640.8506,655.0373,-0.7254,5,1,0,1,0,0,0,0
"80",80,3,7,4,"Conversation",1,"Desktop","Murder",2,1,80,"So maybe it's not Mr. Jones.","658.536","660.3066",658.536,660.3066,3.4987,5,0,0,1,0,0,0,0
"81",81,4,3,1,"Conversation",1,"Desktop","Murder",2,1,81,"Uh, I don't think it's Mr. Jones. I think, uh, the lot of very concrete evidence that the last time we see when was the last time we see Kelley alive, probably.","662.3973","675.56",662.3973,675.56,2.0907,5,0,0,1,0,1,0,0
"82",82,3,7,4,"Conversation",1,"Desktop","Murder",2,1,82,"At all. Yeah.","662.5893-665.0426","662.9733-665.256",662.5893,665.256,-12.9707,5,0,0,0,0,0,0,0
"83",83,1,5,2,"Conversation",1,"Desktop","Murder",2,1,83,"So.","667.1973","667.2613",667.1973,667.2613,1.9413,5,0,0,0,0,0,0,0
"84",84,2,9,3,"Conversation",1,"Desktop","Murder",2,1,84,"That was the last day, yeah?","675.6026","676.264",675.6026,676.264,8.3413,5,0,0,0,0,1,0,0
"85",85,1,5,2,"Conversation",1,"Desktop","Murder",2,1,85,"So, Kelley, I think this Kelley went to mr. John's apartment at 11:55 PM.","676.3706","681.5973",676.3706,681.5973,0.1066,5,0,0,0,0,0,0,0
"86",86,4,3,1,"Conversation",1,"Desktop","Murder",2,1,86,"I think that's the last time we see Kelley alive, right 11:30.","681.0213","685.48",681.0213,685.48,-0.576,5,0,0,0,0,1,0,0
"87",87,2,9,3,"Conversation",1,"Desktop","Murder",2,1,87,"No no no. 'cause here. Here mr. Kelley went to mr. Scott's apartment at twelve 12:25 AM.","684.8827","691.496",684.8827,691.496,-0.5973,5,0,1,0,0,0,0,0
"88",88,1,5,2,"Conversation",1,"Desktop","Murder",2,1,88,"Yeah.","685.288","685.544",685.288,685.544,-6.208,5,0,0,0,0,0,0,0
"89",89,4,3,1,"Conversation",1,"Desktop","Murder",2,1,89,"12:25 and 12:30 is the murder time, so there's like a 5 minute window from the meeting with Scott. So very likely it is a Scott and the gunshot could possibly from.","691.24","708.648",691.24,708.648,5.696,5,0,0,1,0,0,0,0
"90",90,2,9,3,"Conversation",1,"Desktop","Murder",2,1,90,"That was the last day, yeah?","692.2853","693.9707",692.2853,693.9707,-16.3627,5,0,0,0,0,1,0,0
"91",91,3,7,4,"Conversation",1,"Desktop","Murder",2,1,91,"But","693.928","694.3547",693.928,694.3547,-0.0427,5,0,0,0,0,0,0,0
"92",92,1,5,2,"Conversation",1,"Desktop","Murder",2,1,92,"After that.","694.7813","695.272",694.7813,695.272,0.4266,5,0,0,0,0,0,0,0
"93",93,2,9,3,"Conversation",1,"Desktop","Murder",2,1,93,"So.","697.256","697.7467",697.256,697.7467,1.984,5,0,0,0,0,0,0,0
"94",94,4,3,1,"Conversation",1,"Desktop","Murder",2,1,94,"The. Midnight Intruder shot from Mr. Jones, but it is possible that the gunshot is not. It's not deadly, it's not fatal.","710.184-711.8053","710.2693-719.912",710.184,719.912,12.4373,6,0,0,1,0,0,0,0
"95",95,2,9,3,"Conversation",1,"Desktop","Murder",2,1,95,"Yeah Yeah Yeah, the the car show is not filled out so I think it was the.","712.808-718.7173-720.3813","713.512-719.1227-724.6267",712.808,724.6267,-7.104,6,0,0,1,0,0,0,0
"96",96,1,5,2,"Conversation",1,"Desktop","Murder",2,1,96,"But I I have that the elevator man. So Mr. Kelley at 12:15.","724.7333","730.472",724.7333,730.472,0.1066,6,0,0,0,0,0,0,0
"97",97,4,3,1,"Conversation",1,"Desktop","Murder",2,1,97,"And, uh.","727.7627","728.552",727.7627,728.552,-2.7093,6,0,0,0,0,0,0,0
"98",98,1,5,2,"Conversation",1,"Desktop","Murder",2,1,98,"He was slightly bleeding, but not not that badly hurt. So at 12:15 he was alive.","731.496-737.8107","734.9947-740.072",731.496,740.072,2.944,6,0,0,0,0,0,0,0
"99",99,4,3,1,"Conversation",1,"Desktop","Murder",2,1,99,"So we do need something more about the motivation. I think it's about at adultry, 'cause that's the only thing we know about. Mr. Scott. Is that he goes out. And goes in and out from the building with Kelley's wife, right? Anything else that can contribute to the motivation.","738.1307-748.968-750.632-753.32","748.776-749.864-752.3813-762.8987",738.1307,762.8987,-1.9413,6,0,1,0,0,1,0,0
"100",100,2,9,3,"Conversation",1,"Desktop","Murder",2,1,100,"Yeah, I think so its adultery","765.16","766.8667",765.16,766.8667,2.2613,6,0,0,0,0,0,0,0
"101",101,4,3,1,"Conversation",1,"Desktop","Murder",2,1,101,"Alright then I I think we're locking our guy. And so. Wait Mr. Scott with the. And the weapon is the knife and we. Have the murder time at 12:30. And the place is Mr. Scott's apartment. Where we find blood evidence and.","767.528-771.6453-774.568-778.3227-782.4187-786.536-792.5733","770.8987-773.2667-777.896-781.1813-785.8107-791.6773-796.0933",767.528,796.0933,0.6613,6,0,0,1,0,0,0,0
"102",102,3,7,4,"Conversation",1,"Desktop","Murder",2,1,102,"But wait, I'm.","797.2453","798.312",797.2453,798.312,1.152,6,0,0,0,0,0,0,0
"103",103,4,3,1,"Conversation",1,"Desktop","Murder",2,1,103,"So.","797.288","797.48",797.288,797.48,-1.024,6,0,0,0,0,0,0,0
"104",104,3,7,4,"Conversation",1,"Desktop","Murder",2,1,104,"The blood evidence was found in Mr. Jones apartment.","799.0373","801.96",799.0373,801.96,1.5573,6,1,0,0,0,0,0,0
"105",105,4,3,1,"Conversation",1,"Desktop","Murder",2,1,105,"OK, OK.","802.2587","803.048",802.2587,803.048,0.2987,6,0,0,0,0,0,0,0
"106",106,2,9,3,"Conversation",1,"Desktop","Murder",2,1,106,"You are 'cause he's short.","803.0053","805.736",803.0053,805.736,-0.0427,6,0,1,0,0,0,0,0
"107",107,4,3,1,"Conversation",1,"Desktop","Murder",2,1,107,"That","804.0507","804.8613",804.0507,804.8613,-1.6853,6,0,0,0,0,0,0,0
"108",108,3,7,4,"Conversation",1,"Desktop","Murder",2,1,108,"And The thing is that he already shot one bullet. To kill the intruder.","804.8187-809.4053","808.5307-810.6427",804.8187,810.6427,-0.0426,6,1,0,0,0,0,0,0
"109",109,4,3,1,"Conversation",1,"Desktop","Murder",2,1,109,"yeah.","810.9627","812.072",810.9627,812.072,0.32,6,0,0,0,0,0,0,0
"110",110,3,7,4,"Conversation",1,"Desktop","Murder",2,1,110,"And there's one missing bullet.","811.816","813.2453",811.816,813.2453,-0.256,6,1,0,0,0,0,0,0
"111",111,4,3,1,"Conversation",1,"Desktop","Murder",2,1,111,"Alright.","814.2267","814.9307",814.2267,814.9307,0.9814,6,0,0,0,0,0,0,0
"112",112,3,7,4,"Conversation",1,"Desktop","Murder",2,1,112,"So that missing bullet might not be.","814.5253","816.5733",814.5253,816.5733,-0.4054,6,0,0,0,0,0,0,0
"113",113,4,3,1,"Conversation",1,"Desktop","Murder",2,1,113,"Oh no, there isn't.","817.64","819.368",817.64,819.368,1.0667,6,0,0,0,0,0,0,0
"114",114,3,7,4,"Conversation",1,"Desktop","Murder",2,1,114,"Because Mr. Jones shot an intruder, right?","817.64","820.8827",817.64,820.8827,-1.728,6,0,0,0,0,1,0,0
"115",115,4,3,1,"Conversation",1,"Desktop","Murder",2,1,115,"Oh, there is no missing bullet like only one bullet had been fired from Mr. Jones.","820.2427","826.408",820.2427,826.408,-0.64,6,1,0,0,0,0,0,0
"116",116,3,7,4,"Conversation",1,"Desktop","Murder",2,1,116,"Yeah. Yeah, and that one bullet should should have gone to the intruder, not on.","824.5093-826.3227","824.5307-830.9733",824.5093,830.9733,-1.8987,6,1,0,0,0,0,0,0
"117",117,4,3,1,"Conversation",1,"Desktop","Murder",2,1,117,"It is possible that it is possible that Mr. Kelley is the intruder.","831.4","835.368",831.4,835.368,0.4267,6,0,0,0,0,0,0,0
"118",118,3,7,4,"Conversation",1,"Desktop","Murder",2,1,118,"Mr. Kelley. hmmm","832.2533-835.944","832.9573-864.872",832.2533,864.872,-3.1147,6,0,0,0,0,0,0,0
"119",119,4,3,1,"Conversation",1,"Desktop","Murder",2,1,119,"Yeah, but.","837.416","838.0347",837.416,838.0347,-27.456,6,0,0,0,0,0,0,0
"120",120,2,9,3,"Conversation",1,"Desktop","Murder",2,1,120,"Mr. Kelley. Mr. Kelley. If you could see here.","838.248","842.856",838.248,842.856,0.2133,6,0,0,0,0,0,0,0
"121",121,4,3,1,"Conversation",1,"Desktop","Murder",2,1,121,"Yeah, he got a shot, but if not fatal.","841.5333","843.7733",841.5333,843.7733,-1.3227,6,0,0,0,0,0,0,0
"122",122,2,9,3,"Conversation",1,"Desktop","Murder",2,1,122,"Yeah, well.","843.0267","845.032",843.0267,845.032,-0.7466,6,0,0,0,0,0,0,0
"123",123,4,3,1,"Conversation",1,"Desktop","Murder",2,1,123,"Right?","847.6347","847.9973",847.6347,847.9973,2.6027,6,0,0,0,0,1,0,0
"124",124,2,9,3,"Conversation",1,"Desktop","Murder",2,1,124,"cause you can see here, I don't know if you could see my. You could see my cursor here. I think mr. Kelley He's the intruder 'cause you heard Mr. Jones.","851.6453-856.1467-861.096","853.8853-860.136-863.8907",851.6453,863.8907,3.648,6,0,0,0,0,0,0,0
"125",125,4,3,1,"Conversation",1,"Desktop","Murder",2,1,125,"OK.","864.168","864.6587",864.168,864.6587,0.2773,6,0,0,0,0,0,0,0
"126",126,2,9,3,"Conversation",1,"Desktop","Murder",2,1,126,"So maybe so, maybe Mr. Jones didn't know it was him or something because.","865.192","869.416",865.192,869.416,0.5333,6,0,0,1,0,0,0,0
"127",127,4,3,1,"Conversation",1,"Desktop","Murder",2,1,127,"Yeah, I think The thing is that Mr. Kelley Kelley and Jones has a business distribute and Kelley speak publicly. He want to kill Mr. Jones and and.","869.0533","881.3413",869.0533,881.3413,-0.3627,6,0,0,0,0,0,0,0
"128",128,2,9,3,"Conversation",1,"Desktop","Murder",2,1,128,"Yeah.","870.44","871.08",870.44,871.08,-10.9013,6,0,0,0,0,0,0,0
"129",129,3,7,4,"Conversation",1,"Desktop","Murder",2,1,129,"Yeah.","875.816","875.816",875.816,875.816,4.736,6,0,0,0,0,0,0,0
"130",130,4,3,1,"Conversation",1,"Desktop","Murder",2,1,130,"That's, uh, kind of the reason that Mr. Jones and at the day prior to the murder Kelley. Went to Mr. Jones apartment and Mr. Jones recognize Kelley is going to kill him so he self defense and shot Kelley and but he shot him on the leg so it's not fatal. What's fatal is what","882.7067-891.816","890.92-910.7813",882.7067,910.7813,6.8907,6,0,1,0,0,0,0,0
"131",131,3,7,4,"Conversation",1,"Desktop","Murder",2,1,131,"Yeah.","901.8427","901.864",901.8427,901.864,-8.9386,6,0,0,0,0,0,0,0
"132",132,4,3,1,"Conversation",1,"Desktop","Murder",2,1,132,"But Scotts stab him from the back in the next day, 12:30 at Scott's apartment right? I think that's a whole story.","911.144","920.1467",911.144,920.1467,9.28,6,0,0,1,0,1,0,0
"133",133,2,9,3,"Conversation",1,"Desktop","Murder",2,1,133,"Yeah. What why did you go to mr. Scott's of apartment? After being shot?","927.2507-931.4533-937","927.2507-935.912-937.6827",927.2507,937.6827,7.104,6,0,0,0,0,1,0,0
"134",134,4,3,1,"Conversation",1,"Desktop","Murder",2,1,134,"Uh, that's, uh, yeah, we really don't know.","938.4507","942.888",938.4507,942.888,0.768,6,0,0,0,0,0,0,0
